"State","Year","Population","Aggravated.assault","Burglary","Larceny.theft","Legacy.rape","Motor.vehicle.theft","Murder","Robbery"
"Alabama",1966,3517000,177.679840773386,527.46659084447,869.576343474552,9.69576343474552,130.963889678703,10.9183963605345,31.959056013648
"Alabama",1976,3665000,255.961800818554,1169.95907230559,1987.23055934516,21.6643929058663,262.319236016371,15.0886766712142,96.043656207367
"Alabama",1986,4053000,407.944732297064,1158.99333826795,2304.36713545522,28.3740439180854,266.987416728349,10.0912904021712,111.596348383913
"Alabama",1996,4273000,355.581558623918,1002.12965129885,2886.73063421484,32.6936578516265,365.831968172244,10.3908261174819,166.721273110227
"Alabama",2006,4599030,227.504495513184,973.683581102972,2640.79599393785,35.7901557502343,326.547119718723,8.30609932964125,153.55411902075
"Alabama",2016,4863300,388.15207780725,700.450311516871,2006.33314827381,28.4786050624062,241.050315629305,8.36880307610059,96.3543273086176
"Alaska",1966,272000,81.9852941176471,593.014705882353,1600.73529411765,19.4852941176471,441.544117647059,12.8676470588235,36.0294117647059
"Alaska",1976,382000,357.068062827225,1218.06282722513,3656.80628272251,46.8586387434555,805.759162303665,11.2565445026178,124.869109947644
"Alaska",1986,534000,401.123595505618,1161.79775280899,3909.92509363296,72.6591760299626,603.74531835206,8.61423220973783,88.0149812734082
"Alaska",1996,607000,537.726523887974,843.163097199341,3386.65568369028,65.5683690280066,492.915980230643,7.41350906095552,116.968698517298
"Alaska",2006,670053,516.675546561242,620.100201028874,2579.4974427396,76.4118659270237,378.477523419789,5.37270932299385,89.5451553832309
"Alaska",2016,741894,540.643272489062,546.304458588424,2394.68172003009,102.036139933737,412.053473946413,7.00908755159093,114.571623439467
"Arizona",1966,1618000,122.373300370828,931.14956736712,2630.09888751545,18.2941903584672,372.311495673671,6.05686032138443,55.5006180469716
"Arizona",1976,2270000,287.885462555066,2366.60792951542,4642.6872246696,29.6916299559471,421.806167400881,7.79735682819383,129.911894273128
"Arizona",1986,3317000,436.810370817003,1907.68766958095,4336.59933675008,42.9605064817606,418.812179680434,9.25535122098282,169.249321676213
"Arizona",1996,4428000,424.028906955736,1256.3233965673,4252.48419150858,31.1878952122855,926.693766937669,8.51400180668473,167.773261065944
"Arizona",2006,6166318,340.284104712083,963.58961701294,2891.85539895931,39.715759063999,918.700592476742,8.64373196452081,153.91681064778
"Arizona",2016,6931071,315.362517567631,544.446882740056,2168.13534300832,35.3769280389712,265.774221617409,5.48255817895964,101.78802092779
"Arkansas",1966,1955000,116.624040920716,360.306905370844,774.424552429668,9.82097186700767,85.2173913043478,7.10997442455243,29.3606138107417
"Arkansas",1976,2109000,192.935040303461,937.458511142722,2013.94025604552,24.1820768136558,151.351351351351,10.099573257468,76.7188240872451
"Arkansas",1986,2372000,278.161888701518,1029.89038785835,2305.10118043845,28.920741989882,194.898819561551,8.05227655986509,79.6795952782462
"Arkansas",1996,2510000,359.840637450199,953.187250996016,2908.76494023904,41.6733067729084,312.948207171315,8.72509960159362,114.103585657371
"Arkansas",2006,2810872,400.551857217262,1133.59839935792,2584.4648920335,47.1383969102826,267.354756815679,7.29311046536449,97.7988325331072
"Arkansas",2016,2988248,400.970736029941,795.482838104468,2233.64995140966,51.7025360679569,239.437958295295,7.22831572212213,70.9445802356431
"California",1966,18918000,159.113014060683,1277.43947563167,2506.19515805053,23.4274236177186,460.704091341579,4.58822285653875,117.967015540755
"California",1976,21520000,338.703531598513,2174.6282527881,3745.75278810409,44.6747211895911,644.2843866171,10.3159851301115,275.64126394052
"California",1986,26981000,521.481783477262,1696.37152069975,3383.87754345651,44.9167932989882,762.006597235091,11.2597753975019,342.878321781995
"California",1996,31878000,525.798356233139,979.396448961666,2605.11010728402,32.1350147437104,760.606060606061,9.14737436476567,295.570612961917
"California",2006,36457549,306.164300842056,678.131160161096,1835.2934257868,25.3308306600644,668.325234919111,6.81888955288794,195.136540857423
"California",2016,39250017,265.923451701944,479.755206220675,1622.95471107694,25.8573136414183,450.333562912852,4.91719532248865,139.589748457943
"Colorado",1966,1977000,93.7784522003035,711.026808295397,1831.3100657562,17.3495194739504,298.330804248862,3.99595346484573,53.8189175518462
"Colorado",1976,2583000,236.662795199381,1879.90708478513,4043.47657762292,33.7979094076655,442.044134727062,6.81378242353852,139.68253968254
"Colorado",1986,3267000,329.415365779002,1791.58249158249,4230.7621671258,42.3018059381696,485.950413223141,7.04009794918886,144.811753902663
"Colorado",1996,3823000,255.375359665184,900.758566570756,3415.53753596652,46.1679309442846,397.750457755689,4.70834423227832,98.2212921789171
"Colorado",2006,4753377,265.937248402557,681.852081162508,2321.97025398995,45.3993024327757,434.554212720767,3.59744240778714,80.4480688150761
"Colorado",2016,5540545,211.098366676924,431.419652759792,1955.33110912374,47.2697180512025,353.954349256255,3.68194825599287,63.6760463095237
"Connecticut",1966,2875000,45.7739130434783,616.626086956522,1040.66086956522,5.98260869565217,250.330434782609,1.98260869565217,20.904347826087
"Connecticut",1976,3117000,132.820019249278,1383.86268848252,2785.75553416747,14.3727943535451,561.758100737889,3.11196663458454,122.906641000962
"Connecticut",1986,3189000,205.111320163061,1197.55409219191,2758.32549388523,23.8319222326748,447.099404201944,4.64095327688931,192.191909689558
"Connecticut",1996,3274000,214.569334147831,842.211362248015,2484.05620036652,23.0604764813684,489.370800244349,4.82590103848503,169.578497251069
"Connecticut",2006,3504809,148.709958231675,444.617666754451,1847.8895711578,19.8584288045369,293.596598273972,3.90891486526085,127.253724810682
"Connecticut",2016,3576452,128.031915429034,280.864946600709,1328.46743085046,15.6859367887504,198.716493329143,2.1809323877407,75.5776954367065
"Delaware",1966,512000,50.78125,762.3046875,1458.7890625,9.5703125,270.703125,8.984375,58.59375
"Delaware",1976,582000,169.072164948454,1542.6116838488,3915.80756013746,17.6975945017182,484.364261168385,6.18556701030928,128.694158075601
"Delaware",1986,633000,241.074249605055,1042.33807266983,3090.36334913112,56.8720379146919,271.879936808847,4.89731437598736,124.170616113744
"Delaware",1996,725000,421.51724137931,804.137931034483,2988.27586206897,62.6206896551724,434.206896551724,4.27586206896552,179.862068965517
"Delaware",2006,853476,437.387811725227,742.493051942878,2395.96661183208,48.8590188827805,337.912255294818,4.92105226157502,209.847728582878
"Delaware",2016,952065,327.813752212296,527.590027991786,2078.74462352886,23.2127008134949,159.652964871096,5.88195133735617,142.742354776197
"District of Columbia",1966,808000,393.193069306931,1299.25742574257,1945.42079207921,16.5841584158416,812.5,17.450495049505,458.292079207921
"District of Columbia",1976,702000,378.774928774929,1690.74074074074,3490.88319088319,72.3646723646724,420.51282051282,26.7806267806268,1003.4188034188
"District of Columbia",1986,626000,667.891373801917,1727.6357827476,4131.15015974441,52.3961661341853,975.239616613418,30.9904153354633,753.993610223642
"District of Columbia",1996,543000,1162.06261510129,1809.94475138122,5779.92633517495,47.8821362799263,1837.01657458564,73.1123388581952,1186.74033149171
"District of Columbia",2006,581530,789.125238594741,659.467267380875,2735.54244836896,31.8126321943838,1258.92043402748,29.0612694100046,658.435506336732
"District of Columbia",2016,681170,596.473714344437,346.609510107609,4019.84820235771,58.8692984130247,436.454923146938,20.4060660334425,510.885681988344
"Florida",1966,5941000,212.977613196432,1057.71755596701,2077.49537114964,14.6608315098468,243.275542837906,10.3012960781013,99.8653425349268
"Florida",1976,8421000,414.962593516209,1954.74409215058,4073.96983731148,36.2783517396984,339.686498040613,10.7231920199501,186.379289870562
"Florida",1986,11675000,605.293361884368,2221.25053533191,4372.55674518201,52.6937901498929,598.064239828694,11.7430406852248,366.783725910064
"Florida",1996,14400000,702.236111111111,1521.22222222222,4204.5,52.1388888888889,720.618055555556,7.47916666666667,289.1875
"Florida",2006,18089888,485.635953080528,944.577434641939,2618.99907838014,35.7934775494464,422.633904643301,6.24105577657529,188.762915502849
"Florida",2016,20612439,290.193702938308,486.720664158181,1990.79788665475,26.8187573532662,209.266841250567,5.38994924375519,97.8777911726021
"Georgia",1966,4459000,142.565597667638,551.244673693653,943.485086342229,14.5772594752187,181.744785826418,11.3029827315542,34.8732899753308
"Georgia",1976,4970000,241.891348088531,1448.37022132797,2618.30985915493,24.9496981891348,319.678068410463,13.9235412474849,142.374245472837
"Georgia",1986,6104000,318.627129750983,1453.06356487549,2984.45281782438,43.872870249017,430.275229357798,11.2385321100917,213.89252948886
"Georgia",1996,7353000,392.751257989936,1114.75588195294,3927.68937848497,32.0549435604515,628.518971848225,8.56793145654835,205.358357133143
"Georgia",2006,9363941,282.669444414483,909.232554968042,2503.70009806768,23.1633240747672,460.564627649832,6.46095484796412,165.646067184746
"Georgia",2016,10310371,238.546217202077,614.371684588266,2130.13673319806,24.5190013046087,259.9421495114,6.60499995586968,118.375953687796
"Hawaii",1966,718000,53.899721448468,1129.66573816156,1971.03064066852,4.87465181058496,319.220055710306,2.92479108635098,21.5877437325905
"Hawaii",1976,887000,66.5163472378805,1881.62344983089,3668.99661781285,23.5625704622322,542.051860202931,6.20067643742954,133.032694475761
"Hawaii",1986,1062000,103.107344632768,1338.79472693032,3759.13370998117,30.9792843691149,328.248587570621,4.80225988700565,106.308851224105
"Hawaii",1996,1184000,114.02027027027,1079.47635135135,4620.01689189189,27.5337837837838,604.476351351351,3.37837837837838,135.641891891892
"Hawaii",2006,1285498,162.582905613233,678.647496923371,2939.25000272268,27.4601749672112,602.023495952541,1.63360814252531,88.9927483356645
"Hawaii",2016,1428557,193.831957702773,421.194254061966,2175.76197519595,31.2903160321919,395.783997418374,2.45002474524993,69.5807027650979
"Idaho",1966,694000,46.1095100864553,389.913544668588,1451.87319884726,9.51008645533141,103.170028818444,3.02593659942363,7.78097982708934
"Idaho",1976,831000,162.815884476534,1036.7027677497,2776.89530685921,18.6522262334537,230.204572803851,5.29482551143201,39.9518652226233
"Idaho",1986,1003000,177.966101694915,1003.48953140578,2799.70089730808,20.0398803589232,181.256231306082,3.19042871385843,21.3359920239282
"Idaho",1996,1189000,216.989066442389,709.083263246426,2848.78048780488,26.3246425567704,187.468460891505,3.61648444070648,20.26913372582
"Idaho",2006,1466465,185.889196128104,514.502562284132,1715.28130572499,41.6648198218164,166.113749731497,2.38669180648703,20.048211174491
"Idaho",2016,1683140,171.999952469789,375.369844457383,1245.41036396259,31.4293522820443,123.400311322885,2.91122544767518,12.6549187827513
"Illinois",1966,10722000,156.407386681589,560.520425293789,1418.59727662749,16.5734004849841,415.31430703227,6.94833053534788,184.890878567431
"Illinois",1976,11229000,303.669071155045,1258.39344554279,2991.77130643869,24.6059310713332,579.303588921542,10.3393000267165,287.140439932318
"Illinois",1986,11533000,434.258215555363,1181.87808896211,2943.01569409521,41.3162230122258,629.385242348045,8.87019856065204,325.873580161276
"Illinois",1996,11847000,562.581244196843,913.184772516249,3026.20916687769,38.3894656875158,490.225373512282,9.95188655355786,279.44627331814
"Illinois",2006,12831970,318.407851639304,602.082143271844,2124.21007842132,31.7799994856596,293.337655870455,6.07856782707566,185.333974440402
"Illinois",2016,12801539,250.477696470713,374.868990361237,1518.62209692132,28.3950234421033,155.528175167064,8.23338506409269,139.256694058425
"Indiana",1966,4918000,68.9304595363969,627.47051647011,1286.74257828386,10.5734038226921,275.53883692558,4.00569337128914,62.8100854005693
"Indiana",1976,5302000,156.280648811769,1215.57902678235,2769.87929083365,23.1610712938514,372.425499811392,7.11052433044134,128.819313466616
"Indiana",1986,5504000,185.864825581395,886.664244186047,2332.92151162791,25.8720930232558,327.525436046512,5.97747093023256,90.0072674418605
"Indiana",1996,5841000,371.597329224448,783.804143126177,2752.55949323746,34.1037493579866,424.87587741825,7.19054956343092,124.105461393597
"Indiana",2006,6313520,173.532355959908,721.277512386117,2386.22828469697,28.6844739543076,341.964545926836,5.71788796107401,113.645003104449
"Indiana",2016,6633053,249.884932323019,514.046849919637,1853.30947905889,27.9057019444892,222.084762476645,6.6183701532311,110.507182740738
"Iowa",1966,2747000,25.0455041863851,336.54896250455,1131.19767018566,4.80524208227157,131.852930469603,1.56534401164907,12.7775755369494
"Iowa",1976,2870000,78.7108013937282,827.073170731707,2884.59930313589,10.6968641114983,206.898954703833,2.33449477351916,41.1149825783972
"Iowa",1986,2851000,178.849526481936,955.980357769204,2801.2627148369,12.486846720449,158.330410382322,1.78884601894072,41.9852683269028
"Iowa",1996,2852000,205.855539971949,664.586255259467,2520.79242636746,19.6704067321178,191.058906030856,1.85834502103787,45.0911640953717
"Iowa",2006,2982085,210.792113571545,608.969898577673,2045.4816009604,29.2077522941164,169.143401345032,1.84434715978921,43.8954624029831
"Iowa",2016,3134693,211.950580168457,479.472790477409,1447.60587400425,29.41276865071,158.962935126343,2.26497459240825,36.6224060856996
"Kansas",1966,2250000,69.8666666666667,476.088888888889,1366.31111111111,8.88888888888889,147.777777777778,3.46666666666667,29.6444444444444
"Kansas",1976,2310000,170.38961038961,1325.45454545455,2938.09523809524,21.9047619047619,232.251082251082,4.5021645021645,85.8441558441558
